epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93697,3.93301,8.68305,1.81387,0.00063,0.08683,0.0022,0.00098,2.90208,4.34381,1.23617,0.000330935,0.000330935,0.000330935
2,10.7057,2.98035,5.17268,1.23018,0.14069,0.1059,0.06062,0.01952,2.68213,3.3924,1.19119,0.000651116,0.000651116,0.000651116
3,15.4397,2.74855,4.14851,1.15295,0.36818,0.3214,0.28439,0.11406,2.33568,2.57689,1.09864,0.000958097,0.000958097,0.000958097
4,20.0648,2.59572,3.63749,1.09711,0.41239,0.38224,0.35011,0.15171,2.27283,2.18105,1.06711,0.0009406,0.0009406,0.0009406
5,24.7696,2.45085,3.14454,1.06641,0.48849,0.43675,0.44118,0.19153,2.26198,2.03187,1.05356,0.0009208,0.0009208,0.0009208
6,29.4237,2.36446,2.80121,1.04182,0.56263,0.51871,0.52504,0.22254,2.15415,1.85463,1.03184,0.000901,0.000901,0.000901
7,34.0667,2.27607,2.59811,1.03702,0.65703,0.47426,0.56563,0.2408,2.06838,1.81732,1.00779,0.0008812,0.0008812,0.0008812
8,38.7919,2.22905,2.4158,1.01419,0.64682,0.54053,0.59383,0.26788,2.04272,1.66453,1.00682,0.0008614,0.0008614,0.0008614
9,43.4604,2.17451,2.24892,0.99601,0.66719,0.59908,0.63763,0.28255,2.00765,1.57294,1.00195,0.0008416,0.0008416,0.0008416
10,48.1794,2.1713,2.11661,1.00262,0.77265,0.58626,0.67089,0.30924,1.95728,1.47836,0.98911,0.0008218,0.0008218,0.0008218
11,52.84,2.122,2.0024,0.99548,0.73293,0.57061,0.66933,0.31462,1.95059,1.46221,0.98743,0.000802,0.000802,0.000802
12,57.483,2.0932,1.98185,0.99048,0.71303,0.62438,0.6947,0.32716,1.95403,1.41235,0.98536,0.0007822,0.0007822,0.0007822
13,62.1501,2.04422,1.85234,0.98373,0.74076,0.65315,0.70982,0.33717,1.92163,1.38535,0.9858,0.0007624,0.0007624,0.0007624
14,66.8021,2.03538,1.81551,0.97586,0.77293,0.68293,0.73481,0.3432,1.91765,1.32429,0.98032,0.0007426,0.0007426,0.0007426
15,71.7089,2.0417,1.72707,0.96889,0.82602,0.71393,0.78911,0.37335,1.8763,1.25203,0.96837,0.0007228,0.0007228,0.0007228
16,76.987,2.03687,1.71322,0.9798,0.72477,0.69899,0.74585,0.34836,1.92548,1.33639,0.96939,0.000703,0.000703,0.000703
17,81.9867,2.00323,1.64646,0.96789,0.85537,0.68577,0.78359,0.36866,1.87018,1.23886,0.96682,0.0006832,0.0006832,0.0006832
18,86.8406,1.93896,1.56338,0.95353,0.82764,0.7165,0.78032,0.37298,1.87127,1.2469,0.95964,0.0006634,0.0006634,0.0006634
19,91.9844,1.97085,1.52607,0.95165,0.86253,0.71454,0.78778,0.3842,1.82356,1.17758,0.95881,0.0006436,0.0006436,0.0006436
20,97.0967,1.96236,1.52011,0.95637,0.80661,0.74558,0.79514,0.39333,1.80621,1.17706,0.95384,0.0006238,0.0006238,0.0006238
21,102.171,1.95533,1.48956,0.95803,0.78848,0.75229,0.79208,0.38035,1.85132,1.21361,0.95572,0.000604,0.000604,0.000604
22,106.871,1.92022,1.40692,0.95417,0.86615,0.75807,0.83034,0.41068,1.81577,1.13553,0.94974,0.0005842,0.0005842,0.0005842
23,111.676,1.90613,1.40309,0.94311,0.88179,0.76437,0.82617,0.40742,1.78042,1.13338,0.9473,0.0005644,0.0005644,0.0005644
24,116.404,1.90983,1.43346,0.95089,0.86394,0.75152,0.83042,0.40761,1.80998,1.14225,0.95012,0.0005446,0.0005446,0.0005446
25,121.124,1.84558,1.35117,0.93598,0.86452,0.7642,0.82931,0.41499,1.80207,1.11809,0.94941,0.0005248,0.0005248,0.0005248
26,125.824,1.91098,1.37249,0.93918,0.88647,0.76939,0.83274,0.40769,1.789,1.1051,0.94907,0.000505,0.000505,0.000505
27,130.509,1.8645,1.31112,0.94219,0.86748,0.77357,0.83827,0.42038,1.77503,1.08335,0.94239,0.0004852,0.0004852,0.0004852
28,135.305,1.8609,1.3062,0.94062,0.88594,0.78686,0.84304,0.41746,1.78651,1.08442,0.946,0.0004654,0.0004654,0.0004654
29,140.063,1.83001,1.26161,0.93827,0.91613,0.7649,0.8547,0.43268,1.75217,1.06182,0.9413,0.0004456,0.0004456,0.0004456
30,144.91,1.79912,1.21361,0.92706,0.86389,0.7819,0.84571,0.41186,1.8001,1.0696,0.9436,0.0004258,0.0004258,0.0004258
31,150.163,1.83435,1.24567,0.92848,0.90748,0.79224,0.85148,0.42772,1.75667,1.04684,0.9408,0.000406,0.000406,0.000406
32,154.926,1.85184,1.24901,0.93217,0.91436,0.76116,0.85205,0.42564,1.7622,1.05806,0.94084,0.0003862,0.0003862,0.0003862
33,159.777,1.82275,1.22438,0.92537,0.90495,0.7844,0.85491,0.42823,1.76866,1.05611,0.94191,0.0003664,0.0003664,0.0003664
34,164.523,1.7943,1.20695,0.93295,0.90764,0.77727,0.85142,0.42269,1.76795,1.03952,0.93706,0.0003466,0.0003466,0.0003466
35,169.442,1.75412,1.16788,0.92007,0.88995,0.75775,0.83878,0.42682,1.75005,1.05399,0.93457,0.0003268,0.0003268,0.0003268
36,174.257,1.78264,1.16809,0.92715,0.88488,0.78532,0.8466,0.42043,1.77269,1.04649,0.93331,0.000307,0.000307,0.000307
37,178.949,1.76479,1.1649,0.92334,0.89736,0.78758,0.85932,0.42922,1.7575,1.03581,0.93442,0.0002872,0.0002872,0.0002872
38,183.784,1.77891,1.15278,0.91771,0.91253,0.77814,0.8623,0.43854,1.72401,1.02347,0.92711,0.0002674,0.0002674,0.0002674
39,188.762,1.71443,1.12388,0.90987,0.91784,0.77263,0.86058,0.43988,1.7362,1.01358,0.92986,0.0002476,0.0002476,0.0002476
40,193.731,1.74239,1.12859,0.91802,0.88885,0.7945,0.86458,0.44096,1.72596,1.02815,0.93097,0.0002278,0.0002278,0.0002278
41,199.162,1.73032,1.13104,0.92619,0.90034,0.78683,0.86438,0.43322,1.75858,1.01151,0.93164,0.000208,0.000208,0.000208
42,204.028,1.65202,1.04038,0.93606,0.90582,0.77842,0.86007,0.42215,1.77856,1.01475,0.93219,0.0001882,0.0001882,0.0001882
43,208.855,1.73089,1.0889,0.92503,0.90412,0.79845,0.87071,0.44526,1.70858,0.96414,0.92455,0.0001684,0.0001684,0.0001684
44,213.562,1.64963,1.01459,0.9239,0.92319,0.79311,0.87202,0.44921,1.70978,0.97432,0.9265,0.0001486,0.0001486,0.0001486
45,218.329,1.64695,1.02531,0.91971,0.92831,0.80173,0.87596,0.4539,1.70329,0.96169,0.92469,0.0001288,0.0001288,0.0001288
